 date,TRACKING,UPC,ITEM,QTY,单价,,fee,,
,1Z30042RYN28201940,45496904227,poken wiiu,1,,,,,
,1Z3001A5YW29804310,45496904227,poken wiiu,1,,,,,
,,45496903756,super mario maker,2,,,,,
,1Z2713000340914253,,m705 mouse,4,,,,,
,1Z3Y659RYW29758469,45496904227,poken wiiu,1,,,,,
,,45496903756,super mario maker,2,,,,,
,1ZY82F360337962832,,lego 41326,1,,,,,
,1ZY8R025YW18699503,45496904227,poken wiiu,1,,,,,
,,45496903756,super mario maker,2,,,,,
,1ZV98425YW70382607,45496904227,poken wiiu,1,,,,,
,,45496903756,super mario maker,2,,,,,
,1ZY8F881YW29768960,45496903756,super mario maker,2,,,,,
,,45496903749,super mario brio,3,,,,,
,1ZY8F6770325887027,45496591694,super mario swith,3,,,,,
,1ZY8R022YW19240126,,swith red blue,2,,,,,
,1ZY8R094YN18735378,45496904227,poken wiiu,1,,,,,
,1Z01E24W0370167370,814855023271,lancehead mouse,1,,,,,
,1Z30041X0329093118,45496591694,super mario swith,3,,,,,
,1ZY8F7600325878058,45496591694,super mario swith,3,,,,,
,1Z2E24F1YW32376003,,swith red blue,2,,,,,
,1ZY8F928YW18689530,45496903749,super mario brio,3,,,,,
,1Z3Y16F60303656027,,logitech g29,1,,,,,
,1Z3Y16F60303654421,,logitech g29,1,,,,,
,1Z3Y5681YW28248606,45496903749,super mario brio,3,,,,,
,1Z2713000340914226,,m705 mouse,4,,,,,
,1Z2713000340914191,,m705 mouse,4,,,,,
,1Z3Y571EYW28190431,45496903749,super mario brio,3,,,,,
,1ZY8F919YW18671486,45496903749,super mario brio,3,,,,,
,1ZV98F28YN70420393,45496904227,poken wiiu,1,,,,,
,1Z97015AYW28195635,45496904227,poken wiiu,1,,,,,
,,45496903756,super mario maker,2,,,,,
,1Z971VV10325140866,814855023271,lancehead mouse,1,,,,,
,1ZY5148X0301606570,,m705 mouse,20,,,,,
,1ZY5148X0301606561,,m705 mouse,20,,,,,
,1ZY5148X0301611644,,m705 mouse,20,,,,,
,1Z2713000340914235,,m705 mouse,4,,,,,
,1Z2713000340914155,,m705 mouse,4,,,,,
,1Z300FV40325133531,814855023271,lancehead mouse,1,,,,,
,1Z3000X6YW30036565,45496903749,super mario brio,3,,,,,
,1ZY8F955YW18633173,45496903749,super mario brio,3,,,,,
,1Z3018X91211436174,,lego 21312,2,,,,,
,1Z3Y16F60303655788,,logitech g29,2,,,,,
,1Z3Y16F60303653771,,logitech g29,2,,,,,
,1Z3Y16F60303658016,,logitech g29,2,,,,,
,1Z3Y16F60303652656,,logitech g29,2,,,,,
,1ZW85R210353467290,amazon new,dell s2817q,2,,,,,
,1zw85r210353352476,amazon new,dell s2817q,2,,,,,
,31970115310000027380252358532019,,lamer 大礼盒,1,,,,,
,1Z9Y68R00392397770,,m705 mouse,1,,,,,
,,,,,,,,,
11/9,1Z97Y2070325357345,45496903749,super mario brio,1,,,,,
,,45496742485,3ds pokemon dics,3,,,,,
,1Z300FX2YW25110836,45496904227,poken wiiu,1,,,,,
,,45496903756,super mario maker,2,,,,,
,1Z97Y2E90325114508,45496903749,super mario brio,3,,,,,
,,45496904227,poken wiiu,1,,,,,
,,45496903756,super mario maker,2,,,,,
,1Z972WE10318637552,814855023271,lancehead mouse,1,broke,,,,
,1Z97279X0329931359,45496591694,super mario swith,3,,,,,
,,45496903749,super mario brio,3,,,,,
,,45496742485,3ds pokemon dics,1,,,,,
,1Z2E24F10332541144,45496782214,2ds super mario,3,,,,,
,1ZY8F724YW29750462,45496904227,poken wiiu,1,,,,,
,,45496903756,super mario maker,2,,,,,
,1ZV988520371380280,852239005154,ring cam,1,,,,,
,1Z30003EYW29824806,45496904227,poken wiiu,1,,,,,
,,45496903756,super mario maker,1,,,,,
,1Z3Y66E90318645092,814855023271,lancehead mouse,1,,,,,
,1Z3Y65W2YW29807753,45496904227,poken wiiu,1,,,,,
,,45496903756,super mario maker,2,,,,,
,1Z971E150370445521,814855023271,lancehead mouse,1,,,,,
,1Z971E1R0370440484,814855023271,lancehead mouse,1,,,,,
,1Z971ER50370419356,814855023271,lancehead mouse,1,,,,,
,1Z9728W00370475723,814855023271,lancehead mouse,1,,,,,
,1ZY8F9070328269253,814855023271,lancehead mouse,1,,,,,
,1Z3Y6510YN30086356,814855023271,lancehead mouse,1,,,,,
,1Z9723Y60318663463,814855023271,lancehead mouse,1,,,,,
,1Z972F600325120851,814855023271,lancehead mouse,1,,,,,
,1Z300WX10318694887,814855023271,lancehead mouse,1,,,,,
,1Z972WE80318769282,814855023271,lancehead mouse,1,,,,,
,1Z3Y65W7YW29715530,45496904227,poken wiiu,1,,,,,
,,45496903756,super mario maker,2,,,,,
,1Z9714FA0325142777,45496904227,poken wiiu,1,,,,,
,,45496903756,super mario maker,2,,,,,
,1Z3Y56520325269464,45496903749,super mario brio,3,,,,,
,1Z3Y66E40318680446,814855023271,lancehead mouse,1,,,,,
,1Z971V2A0329688928,814855023271,lancehead mouse,1,,,,,
,1Z300FV50325117673,814855023271,lancehead mouse,1,,,,,
,1Z300FW40325913376,814855023271,ring cam,1,,,,,
,1Z9719VE0325097671,45496904227,poken wiiu,1,,,,,
,,45496903756,super mario maker,2,,,,,
,1Z9728F10318731478,45496904227,poken wiiu,1,,,,,
,,45496903756,super mario maker,2,,,,,
,1Z9723Y60318732085,45496904227,poken wiiu,1,,,,,
,,45496903756,super mario maker,2,,,,,
,,45496742485,3ds pokemon dics,1,,,,,
,1ZY8F8860328194535,814855023271,lancehead mouse,1,,,,,
,1Z300W0R0318695983,814855023271,lancehead mouse,1,,,,,
,1ZY8F8730328245718,814855023271,lancehead mouse,1,,,,,
,1Z300WR70318652890,814855023271,lancehead mouse,1,,,,,
,1Z30000E0329717601,45496904227,poken wiiu,1,,,,,
,,45496903756,super mario maker,2,,,,,
,1ZY8F7290328178108,814855023271,lancehead mouse,1,,,,,
,1Z9R42W30312462426,,m705 mouse,20,,,,,
,1Z3Y52A60325169931,45496904227,poken wiiu,1,,,,,
,,45496742485,3ds pokemon dics,1,,,,,
,1ZA0F6500302604479,45496782214,2ds super mario,1,,,,,
,1Z300WV70318672623,814855023271,lancehead mouse,1,,,,,
,1Z3001E20329724899,814855023271,lancehead mouse,1,,,,,
,1Z300WW20318657087,814855023271,lancehead mouse,1,,,,,
,1ZWA10760370454574,814855023271,lancehead mouse,1,,,,,
,1Z300FX60325159973,814855023271,lancehead mouse,1,,,,,
,1Z3Y53340325093317,814855023271,lancehead mouse,1,,,,,
,1Z3000W70329743952,45496904227,poken wiiu,1,,,,,
,,45496903756,super mario maker,2,,,,,
,1Z97Y53V0328265643,45496904227,poken wiiu,1,,,,,
,1Z3Y65970318663799,814855023271,lancehead mouse,1,,,,,
,1Z3000YW0329730764,45496903756,super mario maker,2,,,,,
,,45496904227,poken wiiu,1,,,,,
,1Z972F7R0329809852,814855023271,lancehead mouse,1,,,,,
,1Z3001EV0329982984,45496591694,super mario swith,3,,,,,
,,45496742485,3ds pokemon dics,1,,,,,
,,45496903749,super mario brio,3,,,,,
,1Z3001E60330050633,45496591694,super mario swith,3,,,,,
,,45496742485,3ds pokemon dics,1,,,,,
,,45496903749,super mario brio,3,,,,,
,,,nitendo swith red blue,2,,,,,
,9622080430003248063300409243472187,45496781514,3ds xl,1,,,,,
,9612019232384020001863,814855023271,lancehead mouse,1,,,,,
,1Z300FR9YW25408740,45496903749,super mario brio,3,,,,,
,,45496742485,3ds pokemon dics,3,,,,,
,1ZY8F915YW28298039,45496903749,super mario brio,3,,,,,
,,45496903756,super mario maker,2,,,,,
,1Z9723X40318697235,814855023271,lancehead mouse,1,,,,,
,1Z9719VE0325069577,814855023271,lancehead mouse,1,,,,,
,1ZA0F6500302604488,45496782214,2ds super mario,1,,,,,
,1ZY8F6710318801937,45496591694,super mario swith,3,,,,,
,,45496742485,3ds pokemon dics,1,,,,,
,,45496903749,super mario brio,3,,,,,
,1Z3Y16F60303665231,,g29,1,,,,,
,1Z3001A20329804118,45496903756,super mario maker,2,,,,,
,,45496904227,poken wiiu,1,,,,,
,1Z602AX61377339498,,g29,2,,,,,
,1Z602AX61377339612,,g29,1,,,,,
,1ZY8F7230326182028,45496591694,super mario swith,3,,,,,
,1Z83V5070335633925,889842251647,xboxone 500gb madden 18,1,,,,,
,420197019274899997988742052187,47875881129,xboxone call duty,1,,,,,
,420197019261290203606646248657,45496782214,2ds super mario,3,,,,,
,1Z5E76190363574068,,m705 mouse,19,,,,,
11/10,9612019232393120000690,814855023271,lancehead mouse,1,,,,,
,9622080430000046899000788348439240,,lego 75184,2,,,,,
,9622080430003077116300740268732250,889349785096,asus x541,1,,,,,
,1ZV7855E0338816025,887276242712,samung 500c13-s03,1,,,,,
,1Z97Y2050325959583,,swith red blue,2,,,,,
,,45496591694,super mario swith,3,,,,,
,,,ring cam,1,,,,,
,1Z300WX90318995154,814855023271,lancehead mouse,1,,,,,
,1Z300WF40318717729,814855023271,lancehead mouse,1,,,,,
,1ZE336250353895941,,xbxone controll blk,1,,,,,
,1Z97279R0370412683,814855023271,lancehead mouse,1,,,,,
,1Z3Y65X50370484301,814855023271,lancehead mouse,1,,,,,
,1Z300WF30318916828,814855023271,lancehead mouse,1,,,,,
,1Z300F780370446438,814855023271,lancehead mouse,1,,,,,
,1ZV977880370944466,814855023271,lancehead mouse,1,,,,,
,1ZY8R0720328296053,814855023271,lancehead mouse,1,,,,,
,1Z97048F0330748658,,ring cam,1,,,,,
,1Z972WF60319111714,814855023271,lancehead mouse,1,,,,,
,1ZA407020306974123,97855105073,logitech g502 mouse,1,,,,,
,,,g600,1,,,,,
,1ZA40702YN06974776,97855105073,g403,1,,,,,
,1ZV7855E1338908292,,g403,1,,,,,
,1Z300F900370465877,814855023271,lancehead mouse,1,,,,,
,1ZY8F8430330243683,814855023271,lancehead mouse,1,,,,,
,1ZV986510370424794,814855023271,lancehead mouse,1,,,,,
,1ZV987090370473354,814855023271,lancehead mouse,1,,,,,
,1ZY8F9030330032368,814855023271,lancehead mouse,1,,,,,
,1ZWA03460370397143,814855023271,lancehead mouse,1,,,,,
,1ZWF25470386481372,887276242712,samung 500c13-s03,1,,,,,
,1ZA0F6504202612717,45496782214,nitendo 2ds,1,,,,,
,,45496782023,new 3dsxl,2,,,,,
,1ZV7855E1338908756,,g403,1,,,,,
,1ZV980150370754604,814855023271,lancehead mouse,1,,,,,
,1ZY8F8010328585049,814855023271,lancehead mouse,1,,,,,
,1Z300WR60318764913,814855023271,lancehead mouse,1,,,,,
,1Z300F9W0370447899,814855023271,lancehead mouse,1,,,,,
,1ZY8R0570330117770,814855023271,lancehead mouse,1,,,,,
,1Z971A7Y0370470315,814855023271,lancehead mouse,1,,,,,
,1Z3Y67380308943648,852239005024,ring doorbell,1,,,,,
,1ZY8A3940317971599,46677472009,philips hue,3,,,,,
,1ZY8A3940317969093,46677472009,philips hue,3,,,,,
,,852239005024,ring doorbell,1,,,,,
,1ZV7855E0338852183,,g502,1,,,,,
,1ZA0F6500302611970,45496782214,nitendo 2ds,1,,,,,
,1ZV7855E0338848045,887276242712,samung 500c13-s03,1,,,,,
,,,g403,1,,,,,
,1ZV7855E0338861851,887276242712,samung 500c13-s03,1,,,,,
,,,g403,1,,,,,
,1ZY8R0860330176358,814855023271,lancehead mouse,1,,,,,
,1ZA0F6500302612040,45496782214,nitendo 2ds,1,,,,,
,1Z9723X80318715396,814855023271,lancehead mouse,1,,,,,
,1Z97279W0329732503,814855023271,lancehead mouse,1,,,,,
,1ZY8F7420330208073,814855023271,lancehead mouse,1,,,,,
,1Z972WF40318686547,814855023271,lancehead mouse,1,,,,,
,1Z300F460370830957,814855023271,lancehead mouse,1,,,,,
,1Z9728E60319675181,,ring cam,1,,,,,
,1Z972WE50318751402,814855023271,lancehead mouse,1,,,,,
,1Z6Y3A560372922177,,ring doorbell,1,,,,,
,1Z5E76190363590031,,m705 mouse,20,,,,,
,1Z602F9A0356228562,,g29,1,,,,,
,1Z602F9A0356227278,,g29,1,,,,,
,1Z602F9A0356228893,,g29,2,,,,,
,1Z602F9A0356227821,,g29,2,,,,,
11/12,9622080430003077116300740268746418,884116275664,dell i3567-5664 blk,1,,,,,
,9622080430003077124400746787889204,,g502,1,,,,,
,,,g403,1,,,,,
,9622080430003077124400746787888425,,g502,1,,,,,
,,,g403,1,,,,,
,4201970192055901795905805698097828,,g403,1,,,,,
,420197019361289681090296357055,,g29,1,,,,,
,1001901721220001970100680015132071,,g29,1,,,,,
,1001910521360001970100707503350812,,swith red blue,1,,,,,
,1001901721220001970100680015132082,,g29,1,,,,,
,420197019361289681090296845231,,philips hue,3,,,,,
,,,ring doorbell,1,,,,,
,420197019361289681090296879106,,philips hue,3,,,,,
,,,ring doorbell,1,,,,,
11/13,420197019361289681090297582821,,m705 mouse,25,,,,,
,420197019361289681090297739034,,m705 mouse,27,,,,,
,yuhua ,,super mario maker,78,,,,,
,1Z5E76190363605604,,m705 mouse,3,,,,,
,1Z971E1E0325103214,814855023271,lancehead mouse,1,,,,,
,1Z971E4V0370717792,814855023271,lancehead mouse,1,,,,,
,9612019094419020001826,814855023271,lancehead mouse,1,,,,,
,1ZY8F8830330035985,814855023271,lancehead mouse,1,,,,,
,1ZY8R0300328288659,814855023271,lancehead mouse,1,,,,,
,1Z9714WV0370379849,814855023271,lancehead mouse,1,,,,,
,1Z97278V0325289342,814855023271,lancehead mouse,1,,,,,
,1Z97231R0325142547,814855023271,lancehead mouse,1,,,,,
,1Z300F450370746292,814855023271,lancehead mouse,1,,,,,
,1Z97279E0329832964,814855023271,lancehead mouse,1,,,,,
,1ZY8F8440329834125,814855023271,lancehead mouse,1,,,,,
,1Z300F570370792504,814855023271,lancehead mouse,1,,,,,
,1Z971TT30370723813,814855023271,lancehead mouse,1,,,,,
,1ZA0F6500302617518,45496782023,new 3dsxl,1,,,,,
,1ZWA12490370841783,814855023271,lancehead mouse,1,,,,,
,1Z300F990370449842,814855023271,lancehead mouse,1,,,,,
,1Z300F490370809421,814855023271,lancehead mouse,1,,,,,
,1Z300F320370531618,814855023271,lancehead mouse,1,,,,,
,1ZY8R0060329827575,814855023271,lancehead mouse,1,,,,,
,1ZY8F8180330074289,814855023271,lancehead mouse,1,,,,,
,1ZY8F7370329956330,814855023271,lancehead mouse,1,,,,,
,1Z971VA10370488390,814855023271,lancehead mouse,1,,,,,
,1Z300F820370696786,814855023271,lancehead mouse,1,,,,,
,1Z9714VW0370446702,814855023271,lancehead mouse,1,,,,,
,1Z300F410371505833,,ring cam,2,,,,,
,1ZV7855E0338941523,,g403,1,,,,,
,,,g502,1,,,,,
,1ZA406960219074266,,g600,1,,,,,
,1ZWF25470386644731,,g502,2,,,,,
,1ZW494600355274193,,ring doorbell,3,,,,,
,1ZV7855E0338958453,,g403,1,,,,,
,,,g402,1,,,,,
,1ZV7855EYW38922706,,ring doorbell,1,,,,,
,1ZY8R0740319073780,814855023271,lancehead mouse,1,,,,,
,1ZV9812X0370465003,814855023271,lancehead mouse,1,,,,,
,1ZY8F9010330138507,814855023271,lancehead mouse,1,,,,,
,1ZA407020306987084,,g403,1,,,,,
